epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.325,1.40289,1.44141,1.36157,0.81662,0.76341,0.82546,0.54702,1.22717,1.07206,1.40463,0.0670702,0.000332624,0.000332624
2,212.152,1.35487,0.98426,1.37962,0.80067,0.78107,0.88557,0.59622,1.17058,1.02569,1.38585,0.0340636,0.000659364,0.000659364
3,303.409,1.31412,0.88935,1.34774,0.89658,0.86658,0.9229,0.62648,1.14321,0.67443,1.35206,0.00105043,0.000979505,0.000979505
4,394.092,1.28215,0.81091,1.3291,0.91818,0.87984,0.93364,0.64802,1.12406,0.67036,1.33845,0.0009703,0.0009703,0.0009703
5,486.727,1.24915,0.75416,1.30568,0.93325,0.89042,0.93892,0.65509,1.08643,0.63462,1.31099,0.0009604,0.0009604,0.0009604
6,581.062,1.22243,0.70911,1.28434,0.91629,0.91789,0.95329,0.67556,1.08858,0.57777,1.30777,0.0009505,0.0009505,0.0009505
7,674.659,1.18474,0.67124,1.26162,0.91334,0.92922,0.95058,0.66811,1.07394,0.54063,1.29891,0.0009406,0.0009406,0.0009406
8,768.675,1.17714,0.65193,1.25895,0.93711,0.91178,0.94831,0.67769,1.0753,0.53814,1.2953,0.0009307,0.0009307,0.0009307
9,862.597,1.15876,0.63266,1.24117,0.93591,0.92178,0.96096,0.69576,1.02877,0.48528,1.27129,0.0009208,0.0009208,0.0009208
10,956.466,1.14013,0.61386,1.23885,0.93792,0.9425,0.96352,0.69772,1.03319,0.49863,1.26404,0.0009109,0.0009109,0.0009109
11,1050.87,1.13126,0.59857,1.23557,0.93795,0.94249,0.95956,0.69184,1.03978,0.48902,1.26946,0.000901,0.000901,0.000901
12,1145.11,1.11225,0.57459,1.22118,0.94697,0.89478,0.95001,0.66662,1.1168,0.55177,1.31834,0.0008911,0.0008911,0.0008911
13,1241.29,1.10282,0.57232,1.21177,0.87061,0.75032,0.83059,0.59499,1.15043,0.95358,1.36389,0.0008812,0.0008812,0.0008812
14,1335.21,1.08829,0.55664,1.20621,0.95673,0.94921,0.96419,0.7024,1.02204,0.45876,1.26461,0.0008713,0.0008713,0.0008713
15,1429.13,1.06713,0.56201,1.1923,0.94707,0.93913,0.96643,0.69969,1.03718,0.48151,1.26264,0.0008614,0.0008614,0.0008614
16,1523.01,1.05868,0.54119,1.18778,0.96169,0.91613,0.96206,0.7089,1.00987,0.46283,1.24798,0.0008515,0.0008515,0.0008515
17,1617.11,1.05046,0.5285,1.17916,0.9474,0.94786,0.96939,0.71469,0.99554,0.45071,1.24103,0.0008416,0.0008416,0.0008416
18,1711.08,1.03702,0.52341,1.17445,0.95189,0.94464,0.96708,0.70947,1.00708,0.45144,1.24116,0.0008317,0.0008317,0.0008317
19,1805.41,1.03016,0.50799,1.16662,0.95726,0.93949,0.96659,0.71579,1.00074,0.45682,1.24421,0.0008218,0.0008218,0.0008218
20,1899.27,1.01122,0.50476,1.1587,0.96034,0.93568,0.96591,0.71493,0.98903,0.43117,1.24453,0.0008119,0.0008119,0.0008119
21,1993.14,1.00879,0.49783,1.16039,0.95786,0.93735,0.96627,0.7202,0.98989,0.43335,1.23688,0.000802,0.000802,0.000802
22,2087.12,0.99471,0.49596,1.15253,0.95347,0.9427,0.96067,0.70644,0.99695,0.44594,1.24899,0.0007921,0.0007921,0.0007921
23,2180.92,0.99024,0.48506,1.1492,0.95162,0.94228,0.96389,0.72127,0.99106,0.44419,1.23076,0.0007822,0.0007822,0.0007822
24,2274.86,0.97199,0.47782,1.14242,0.9558,0.93768,0.96657,0.71883,0.98836,0.43262,1.23216,0.0007723,0.0007723,0.0007723
25,2368.63,0.96771,0.47313,1.13555,0.95201,0.94768,0.96837,0.71582,0.9971,0.43226,1.23322,0.0007624,0.0007624,0.0007624
26,2462.42,0.963,0.46334,1.13383,0.96486,0.93412,0.96618,0.71969,0.97552,0.42601,1.22018,0.0007525,0.0007525,0.0007525
27,2556.38,0.95718,0.46099,1.12906,0.94593,0.95343,0.96945,0.72254,0.98637,0.4269,1.24138,0.0007426,0.0007426,0.0007426
28,2650.15,0.94102,0.45424,1.11831,0.95703,0.94028,0.96887,0.7236,0.98485,0.42638,1.22839,0.0007327,0.0007327,0.0007327
29,2744.06,0.93318,0.45399,1.11875,0.96357,0.9329,0.96573,0.71929,0.9878,0.42541,1.23578,0.0007228,0.0007228,0.0007228
30,2837.85,0.92285,0.44118,1.10983,0.95532,0.94107,0.9681,0.72559,0.98955,0.42315,1.2322,0.0007129,0.0007129,0.0007129
